id,level,notation,pref_label_en,broader,nace_rev2,code_status,note
ISIC-A,section,A,"Agriculture, forestry and fishing",,A,verified,
ISIC-B,section,B,Mining and quarrying,,B,verified,
ISIC-C,section,C,Manufacturing,,C,verified,
ISIC-D,section,D,"Electricity, gas, steam and air conditioning supply",,D,verified,
ISIC-E,section,E,"Water supply; sewerage, waste management and remediation activities",,E,verified,
ISIC-F,section,F,Construction,,F,verified,
ISIC-G,section,G,"Wholesale and retail trade; repair of motor vehicles and motorcycles",,G,verified,
ISIC-H,section,H,Transportation and storage,,H,verified,
ISIC-I,section,I,Accommodation and food service activities,,I,verified,
ISIC-J,section,J,Information and communication,,J,verified,
ISIC-K,section,K,Financial and insurance activities,,K,verified,
ISIC-L,section,L,Real estate activities,,L,verified,
ISIC-M,section,M,"Professional, scientific and technical activities",,M,verified,
ISIC-N,section,N,Administrative and support service activities,,N,verified,
ISIC-O,section,O,Public administration and defence; compulsory social security,,O,verified,
ISIC-P,section,P,Education,,P,verified,
ISIC-Q,section,Q,Human health and social work activities,,Q,verified,
ISIC-R,section,R,"Arts, entertainment and recreation",,R,verified,
ISIC-S,section,S,Other service activities,,S,verified,
ISIC-T,section,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,,T,verified,
ISIC-U,section,U,Activities of extraterritorial organizations and bodies,,U,verified,
ISIC-C-30,division,30,Manufacture of other transport equipment,ISIC-C,30,verified,
ISIC-C-3030,class,3030,Manufacture of air and spacecraft and related machinery,ISIC-C-30,,verified,"NACE code not asserted: ISIC and NACE diverge below division level."
ISIC-G-47,division,47,"Retail trade, except of motor vehicles and motorcycles",ISIC-G,47,verified,
ISIC-G-4711,class,4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",ISIC-G-47,,verified,
ISIC-I-56,division,56,Food and beverage service activities,ISIC-I,56,verified,
ISIC-I-5610,class,5610,Restaurants and mobile food service activities,ISIC-I-56,,verified,
ISIC-J-62,division,62,"Computer programming, consultancy and related activities",ISIC-J,62,verified,
ISIC-K-64,division,64,"Financial service activities, except insurance and pension funding",ISIC-K,64,verified,
ISIC-K-6419,class,6419,Other monetary intermediation,ISIC-K-64,,verified,"Covers deposit-taking retail and commercial banking."
ISIC-K-65,division,65,"Insurance, reinsurance and pension funding, except compulsory social security",ISIC-K,65,verified,
ISIC-K-6512,class,6512,Non-life insurance,ISIC-K-65,,verified,
ISIC-O-84,division,84,Public administration and defence; compulsory social security,ISIC-O,84,verified,
ISIC-O-8411,class,8411,General public administration activities,ISIC-O-84,,verified,
ISIC-P-85,division,85,Education,ISIC-P,85,verified,
ISIC-P-8521,class,8521,General secondary education,ISIC-P-85,,verified,"Swiss gymnasiale Maturität sits here."
ISIC-P-8530,class,8530,Higher education,ISIC-P-85,,verified,
ISIC-Q-86,division,86,Human health activities,ISIC-Q,86,verified,
ISIC-Q-8610,class,8610,Hospital activities,ISIC-Q-86,,verified,
