use_case_id,function_id,role
banking-kyc-onboarding,customer-onboarding,primary
banking-kyc-onboarding,identity-proofing,supporting
banking-kyc-onboarding,regulatory-compliance,supporting
banking-re-kyc,regulatory-compliance,primary
banking-re-kyc,identity-lifecycle-management,supporting
banking-reidentification-password-reset,identity-lifecycle-management,primary
banking-reidentification-password-reset,customer-service,supporting
banking-reidentification-password-reset,access-management,supporting
banking-age-of-majority-reidentification,identity-lifecycle-management,primary
banking-age-of-majority-reidentification,regulatory-compliance,supporting
education-maturitaetszeugnis-issuance,certification-and-attestation,primary
education-maturitaetszeugnis-issuance,records-management,supporting
education-university-immatriculation,customer-onboarding,primary
education-university-immatriculation,eligibility-verification,supporting
education-university-immatriculation,identity-proofing,supporting
retail-hospitality-age-verification,eligibility-verification,primary
retail-hospitality-age-verification,regulatory-compliance,supporting
employment-identity-proofing,human-capital-management,primary
employment-identity-proofing,identity-proofing,supporting
employment-identity-proofing,eligibility-verification,supporting
aerospace-supplier-onboarding,sourcing-and-procurement,primary
aerospace-supplier-onboarding,supply-chain-traceability,supporting
aerospace-supplier-onboarding,regulatory-compliance,supporting
healthcare-patient-identification,service-delivery,primary
healthcare-patient-identification,identity-proofing,supporting
healthcare-patient-identification,records-management,supporting
egov-service-access,access-management,primary
egov-service-access,identity-proofing,supporting
egov-service-access,service-delivery,supporting
