id,name,description,maturity,documented_by
banking-kyc-onboarding,Online onboarding and KYC credential issuance,A prospective customer opens a bank account remotely. The bank identifies them against the e-ID and issues a reusable KYC attestation.,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/banking/KYC%20Credential
banking-re-kyc,Periodic KYC re-evaluation,"The bank re-runs customer due diligence on an existing relationship at the interval its supervisor requires, reusing the identity already established.",Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/banking/KYC%20Credential
banking-reidentification-password-reset,Re-identification after a forgotten password,"An existing e-banking customer who has lost their credentials is re-identified before access is restored, without a branch visit.",Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/banking/Re-Identification%20After%20Forgotten%20Password
banking-age-of-majority-reidentification,Re-identification at the age of majority,"A customer onboarded as a minor turns 18. The relationship is re-established at full legal capacity, with a qualified electronic signature.",Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/banking/Re-Identification%20at%20Age%20of%20Majority
education-maturitaetszeugnis-issuance,Issuance of a Maturitätszeugnis,An upper-secondary school issues the school-leaving certificate to the graduate as a digital attestation.,Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/education
education-university-immatriculation,University immatriculation,"A university admits a student on the strength of the e-ID and the Maturitätszeugnis, without re-collecting or re-checking paper documents.",Modelled,https://github.com/DIDAS-swiss/Trust-Flow-Diagram-Repository/tree/main/education
retail-hospitality-age-verification,Age verification at the point of sale,"A merchant or a restaurant checks that a customer is over the legal age for a restricted product, learning nothing else about them.",Exploratory,
employment-identity-proofing,Employee identity proofing and onboarding,"An employer identifies a new hire and checks the qualifications the role requires, before provisioning any account.",Exploratory,
aerospace-supplier-onboarding,Automated aerospace supplier onboarding,"A manufacturer qualifies a new supplier by checking its legal existence, its signatories and its quality accreditations.",Exploratory,
healthcare-patient-identification,Patient identification at admission,A hospital identifies a patient at admission and links them to the right record.,Exploratory,
egov-service-access,Access to an online government service,A resident authenticates to a public-administration service portal and proves the attributes the service is entitled to see.,Exploratory,
