id,pref_label_en,broader,definition
identity-proofing,Identity proofing,,"Establishing to a stated level of assurance that a claimed identity corresponds to a real subject."
customer-onboarding,Customer onboarding,,"Establishing a new customer or member relationship, including the due diligence that regulation attaches to it."
identity-lifecycle-management,Identity lifecycle management,identity-proofing,"Maintaining an established identity relationship over time: re-verification, recovery, attribute updates, revocation."
eligibility-verification,Eligibility verification,,"Checking whether a subject meets a stated condition — age, residency, licence, membership — without necessarily identifying them."
access-management,Access management,,"Granting, restricting and revoking access to systems, premises or services."
certification-and-attestation,Certification and attestation,,"Issuing an authoritative statement about a subject, a product or a process — a diploma, a certificate, an accreditation."
regulatory-compliance,Regulatory compliance,,"Meeting statutory and regulatory obligations, including record-keeping and supervisory reporting."
sourcing-and-procurement,Sourcing and procurement,,"Selecting, qualifying and contracting suppliers, and running the purchase-to-pay process."
supply-chain-traceability,Supply chain traceability,sourcing-and-procurement,"Establishing provenance and chain of custody for goods and their inputs."
human-capital-management,Human capital management,,"Hiring, employing and offboarding people, and administering their qualifications and entitlements."
customer-service,Customer service,,"Handling requests, incidents and complaints from an existing customer relationship."
service-delivery,Service delivery,,"Performing and delivering the service the organisation exists to provide."
records-management,Records management,,"Maintaining an authoritative register or record and answering queries against it."
